medal,beer,brewery,city,state,style,year,coords,lat,lng,comp
Bronze,"Thistle Dew","Ursa Minor Brewing",Duluth,MN,"Scottish-Style Ale",2019,"-92.1392 46.7757",46.7757,-92.1392,GABF
Gold,"Texas Lager","Community Beer Co.",Dallas,TX,"Session Beer",2019,"-96.7662 32.7936",32.7936,-96.7662,GABF
Silver,"Lite It!","Light the Lamp Brewery",Grayslake,IL,"Session Beer",2019,"-88.0338 42.3402",42.3402,-88.0338,GABF
Bronze,Peacekeeper,"Launch Pad Brewery",Aurora,CO,"Session Beer",2019,"-104.7274 39.7084",39.7084,-104.7274,GABF
Gold,"Gravity Check","Kern River Brewing Co. - The Backyard",Kernville,CA,"Session India Pale Ale",2019,"-118.4321 35.7531",35.7531,-118.4321,GABF
Silver,"Trump Hands","Cannonball Creek Brewing Co.",Golden,CO,"Session India Pale Ale",2019,"-105.2118 39.7406",39.7406,-105.2118,GABF
Bronze,"That IPA","Community Beer Works",Buffalo,NY,"Session India Pale Ale",2019,"-78.8487 42.9017",42.9017,-78.8487,GABF
Gold,"Red-Fish Rauchbock","Sockeye Brewing",Boise,ID,"Smoke Beer",2019,"-116.2312 43.6007",43.6007,-116.2312,GABF
Silver,"TF Brewing Rauch Bier","Templin Family Brewing","Salt Lake City",UT,"Smoke Beer",2019,"-111.93 40.7774",40.7774,-111.93,GABF
Bronze,"Up In Smoke","Fat Head's Brewery - Canton",Canton,OH,"Smoke Beer",2019,"-81.3678 40.8076",40.8076,-81.3678,GABF
Gold,"Prosperity Wheat","Market Garden Brewery - Production Brewery",Cleveland,OH,"South German-Style Hefeweizen",2019,"-81.6805 41.4767",41.4767,-81.6805,GABF
Silver,"Hug Deal Gone Sideweiss","Gezellig Brewing Co.",Newton,IA,"South German-Style Hefeweizen",2019,"-93.0403 41.6964",41.6964,-93.0403,GABF
Bronze,"Leisel Weapon","Noon Whistle Brewing Co.",Lombard,IL,"South German-Style Hefeweizen",2019,"-88.0157 41.8741",41.8741,-88.0157,GABF
Gold,"Rye Hipster Brunch Stout","Odd Side Ales","Grand Haven",MI,"Specialty Beer",2019,"-86.2201 43.0553",43.0553,-86.2201,GABF
Silver,Agavemente,"SouthNorte Beer Co.","San Diego",CA,"Specialty Beer",2019,"-117.1225 32.8312",32.8312,-117.1225,GABF
Bronze,"I Did It All For The Cookie","FiftyFifty Brewing Co.",Truckee,CA,"Specialty Beer",2019,"-120.1848 39.3454",39.3454,-120.1848,GABF
Gold,"Midwestern Exotic","Barrel Theory Beer Co.","St. Paul",MN,"Specialty Berliner Weisse",2019,"-93.104 44.9477",44.9477,-93.104,GABF
Silver,"Jungalow Juice","Arrow Lodge Brewing",Covina,CA,"Specialty Berliner Weisse",2019,"-117.8817 34.0903",34.0903,-117.8817,GABF
Bronze,"Raspberry Vermonter Weiss","14th Star Brewing Co.","Saint Albans",VT,"Specialty Berliner Weisse",2019,,,,GABF
Gold,Obeisance,"Von Ebert Brewing - Glendoveer",Portland,OR,"Specialty Saison",2019,"-122.65 45.5371",45.5371,-122.65,GABF
Silver,Westfield,"Cellar West Artisan Ales",Lafayette,CO,"Specialty Saison",2019,"-105.0997 39.9949",39.9949,-105.0997,GABF
Bronze,"Palisade #2","Fortside Brewing Co.",Vancouver,WA,"Specialty Saison",2019,"-122.597 45.6367",45.6367,-122.597,GABF
