medal,beer,brewery,city,state,style,year,coords,lat,lng,comp
Gold,Speargun,"Snake River Brewing Co.",Jackson,WY,"Coffee Stout or Porter",2018,"-110.7745 43.4721",43.4721,-110.7745,GABF
Silver,"Breakfast Stout","Founders Brewing Co.","Grand Rapids",MI,"Coffee Stout or Porter",2018,"-85.6557 42.9615",42.9615,-85.6557,GABF
Bronze,"Udder Chaos","RAM Restaurant & Brewery - Seattle",Seattle,WA,"Coffee Stout or Porter",2018,"-122.3244 47.6211",47.6211,-122.3244,GABF
Gold,"Iron Horse Lager","Great American Restaurants - Sweetwater Tavern Centreville",Centreville,VA,"Dark Lager",2018,"-77.4388 38.8391",38.8391,-77.4388,GABF
Silver,"The Bennie","Granite City Food & Brewery",Olathe,KS,"Dark Lager",2018,"-94.8198 38.8832",38.8832,-94.8198,GABF
Bronze,Nighthawk,"Enegren Brewing Co.",Moorpark,CA,"Dark Lager",2018,"-118.877 34.2855",34.2855,-118.877,GABF
Gold,"Grandpa Tractor","Barley Forge Brewing","Costa Mesa",CA,"Dortmunder or German-Style Oktoberfest",2018,"-117.9135 33.6667",33.6667,-117.9135,GABF
Silver,"Freiheit Oktoberfest Wiesn","Wayfinder Beer",Portland,OR,"Dortmunder or German-Style Oktoberfest",2018,"-122.65 45.5371",45.5371,-122.65,GABF
Bronze,Figtoberfest,"Figueroa Mountain Brewing - Westlake Village","Westlake Village",CA,"Dortmunder or German-Style Oktoberfest",2018,"-118.8221 34.1369",34.1369,-118.8221,GABF
Gold,"Midwest Red IPA","Masthead Brewing Co.",Cleveland,OH,"Double Hoppy Red Ale",2018,"-81.6805 41.4767",41.4767,-81.6805,GABF
Silver,Roundhouse,"Bell's Eccentric Cafe",Kalamazoo,MI,"Double Hoppy Red Ale",2018,"-85.5882 42.2749",42.2749,-85.5882,GABF
Bronze,"Bad Polaroid","Werk Force Brewing Co.",Plainfield,IL,"Double Hoppy Red Ale",2018,"-88.226 41.6205",41.6205,-88.226,GABF
Gold,"Get Up Offa That Brown","Golden Road Brewing - Los Angeles","Los Angeles",CA,"English-Style Brown Ale",2018,"-118.4068 34.1139",34.1139,-118.4068,GABF
Silver,"My Brown Eyed Girl","Thornapple Brewing Co.","Grand Rapids",MI,"English-Style Brown Ale",2018,"-85.6557 42.9615",42.9615,-85.6557,GABF
Bronze,"No. 3 Brown","The Freehouse",Minneapolis,MN,"English-Style Brown Ale",2018,"-93.2678 44.9635",44.9635,-93.2678,GABF
Gold,"Castillo IPA","Alaro Craft Brewery",Sacramento,CA,"English-Style India Pale Ale",2018,"-121.4683 38.5667",38.5667,-121.4683,GABF
Silver,"Silverspot IPA","Pelican Brewing Co.","Pacific City",OR,"English-Style India Pale Ale",2018,"-123.9536 45.2054",45.2054,-123.9536,GABF
Bronze,"Hoppy Poppy IPA","Figueroa Mountain Brewing",Buellton,CA,"English-Style India Pale Ale",2018,"-120.1943 34.6152",34.6152,-120.1943,GABF
Gold,Drift,"First Magnitude Brewing Co.",Gainesville,FL,"English-Style Mild Ale",2018,"-82.3458 29.6804",29.6804,-82.3458,GABF
Silver,"Hold The Reins","Brink Brewing Co.",Cincinnati,OH,"English-Style Mild Ale",2018,"-84.506 39.1412",39.1412,-84.506,GABF
Bronze,"Fools & Babies","Green Cheek Beer Co.",Orange,CA,"English-Style Mild Ale",2018,"-117.8218 33.8038",33.8038,-117.8218,GABF
Gold,"Liquid AC","Karl Strauss Brewing Co. - La Jolla","La Jolla",CA,"English-Style Summer Ale",2018,,,,GABF
Silver,Provider,"Steel Toe Brewing","St. Louis Park",MN,"English-Style Summer Ale",2018,"-93.3649 44.9488",44.9488,-93.3649,GABF
Bronze,"Zest A Peel","Triple C Brewing",Charlotte,NC,"English-Style Summer Ale",2018,"-80.8304 35.2079",35.2079,-80.8304,GABF
Gold,"Feral Brute","Firestone Walker Barrelworks",Buellton,CA,"Experimental Beer",2018,"-120.1943 34.6152",34.6152,-120.1943,GABF
Silver,"Terroir Pinot Noir","Alesong Brewing & Blending",Eugene,OR,"Experimental Beer",2018,"-123.1173 44.0563",44.0563,-123.1173,GABF
Bronze,"Chips & Salsa Cream Ale","Cogstone Brewing Co.","Colorado Springs",CO,"Experimental Beer",2018,"-104.7606 38.8674",38.8674,-104.7606,GABF
Gold,Dissent,"Steel Toe Brewing","St. Louis Park",MN,"Export Stout",2018,"-93.3649 44.9488",44.9488,-93.3649,GABF
Silver,"Malpais Stout","La Cumbre Brewing Co.",Albuquerque,NM,"Export Stout",2018,"-106.6464 35.1053",35.1053,-106.6464,GABF
Bronze,"Shut Up & Adore Me","Morgan Territory Brewing",Tracy,CA,"Export Stout",2018,"-121.444 37.726",37.726,-121.444,GABF
Gold,"Happy Amber","MadTree Brewing 2.0",Cincinnati,OH,"Extra Special Bitter",2018,"-84.506 39.1412",39.1412,-84.506,GABF
Silver,ESB,"Hillman Beer",Asheville,NC,"Extra Special Bitter",2018,"-82.5537 35.5704",35.5704,-82.5537,GABF
Bronze,"Bull Kelp ESB","San Juan Island Brewing Co.","Friday Harbor",WA,"Extra Special Bitter",2018,"-123.0655 48.5324",48.5324,-123.0655,GABF
Gold,"Cool for the Summer","Lakes & Legends Brewing Co.",Minneapolis,MN,"Field Beer",2018,"-93.2678 44.9635",44.9635,-93.2678,GABF
Silver,"Coco Piña Gose","Coastal Empire Beer Co.",Savannah,GA,"Field Beer",2018,"-81.1785 32.0281",32.0281,-81.1785,GABF
Bronze,"Hawaiian Lion Toasted Coconut & Coffee Porter","Big Top Brewing Co.",Sarasota,FL,"Field Beer",2018,"-82.543 27.3386",27.3386,-82.543,GABF
Gold,"Passionate Envy","10 Barrel Brewing Co.",Bend,OR,"Fruit Wheat Beer",2018,"-121.3087 44.0562",44.0562,-121.3087,GABF
Silver,"Purple Line","Smylie Brothers Brewing Co.",Evanston,IL,"Fruit Wheat Beer",2018,"-87.6942 42.0463",42.0463,-87.6942,GABF
Bronze,"Cherry Wheat","Sierra Blanca Brewing Co.",Moriarty,NM,"Fruit Wheat Beer",2018,"-106.046 35.0052",35.0052,-106.046,GABF
Gold,"Pink Passionfruit Sour","BearWaters Brewing Co.",Canton,NC,"Fruited American-Style Sour Ale",2018,"-82.8406 35.5516",35.5516,-82.8406,GABF
Silver,"Kirby Pucker No. 21","Eastlake Craft Brewery",Minneapolis,MN,"Fruited American-Style Sour Ale",2018,"-93.2678 44.9635",44.9635,-93.2678,GABF
Bronze,"Flaming Fury","Captain Lawrence Brewing Co.",Elmsford,NY,"Fruited American-Style Sour Ale",2018,"-73.8143 41.0541",41.0541,-73.8143,GABF
Gold,"Réserve Dorée de Pêche","Wooden Robot",Charlotte,NC,"Fruited Wood- and Barrel-Aged Sour Beer",2018,"-80.8304 35.2079",35.2079,-80.8304,GABF
Silver,"Sour Cherry Sour","Hermitage Brewing Co.","San Jose",CA,"Fruited Wood- and Barrel-Aged Sour Beer",2018,"-121.8489 37.3021",37.3021,-121.8489,GABF
Bronze,"Zoned AG Golden Raspberry","Corralitos Brewing Co.",Watsonville,CA,"Fruited Wood- and Barrel-Aged Sour Beer",2018,"-121.7706 36.9206",36.9206,-121.7706,GABF
Gold,"Legendary Red","Golden City Brewery",Golden,CO,"German-Style Altbier",2018,"-105.2118 39.7406",39.7406,-105.2118,GABF
Silver,"Little Red Cap","Grimm Brothers Brewhouse",Loveland,CO,"German-Style Altbier",2018,"-105.0622 40.4167",40.4167,-105.0622,GABF
Bronze,"Alt 1848","Utepils Brewing Co.",Minneapolis,MN,"German-Style Altbier",2018,"-93.2678 44.9635",44.9635,-93.2678,GABF
Gold,"Smooth Like Jazz","Revelry Brewing Co.",Charleston,SC,"German-Style Doppelbock or Eisbock",2018,"-79.963 32.8151",32.8151,-79.963,GABF
Silver,"Delaminator Doppelbock","Rip Current Brewery","San Marcos",CA,"German-Style Doppelbock or Eisbock",2018,"-117.1743 33.135",33.135,-117.1743,GABF
Bronze,"St. Nigels' Doppelbock","Front Range Brewing Co.",Lafayette,CO,"German-Style Doppelbock or Eisbock",2018,"-105.0997 39.9949",39.9949,-105.0997,GABF
Gold,"Colorado Kölsch","Steamworks Brewing Co.",Durango,CO,"German-Style Koelsch",2018,"-107.8703 37.2744",37.2744,-107.8703,GABF
Silver,Kascadia,"54° 40' Brewing Co.",Washougal,WA,"German-Style Koelsch",2018,"-122.3433 45.5812",45.5812,-122.3433,GABF
Bronze,"Veedels Bräu","Crooked Lane Brewing Co.",Auburn,CA,"German-Style Koelsch",2018,"-121.0777 38.895",38.895,-121.0777,GABF
Gold,Oktoberfest,"Rahr & Sons Brewing Co.","Fort Worth",TX,"German-Style Maerzen",2018,"-97.3472 32.7812",32.7812,-97.3472,GABF
Silver,Oktoberfest,"RAM Restaurant and Brewery - Lakewood",Lakewood,WA,"German-Style Maerzen",2018,"-122.5299 47.1628",47.1628,-122.5299,GABF
Bronze,Oktoberfest,"Oak Highlands Brewery",Dallas,TX,"German-Style Maerzen",2018,"-96.7662 32.7936",32.7936,-96.7662,GABF
Gold,"Netflix and Pils","Cannonball Creek Brewing Co.",Golden,CO,"German-Style Pilsener",2018,"-105.2118 39.7406",39.7406,-105.2118,GABF
Silver,Pilsner,"pFriem Family Brewers","Hood River",OR,"German-Style Pilsener",2018,"-121.5258 45.7092",45.7092,-121.5258,GABF
Bronze,Pilsner,"Ardent Craft Ales",Richmond,VA,"German-Style Pilsener",2018,"-77.4756 37.5295",37.5295,-77.4756,GABF
Gold,Bananenhängematte,"FiftyFifty Brewing - Production Facility",Truckee,CA,"German-Style Wheat Ale",2018,"-120.1848 39.3454",39.3454,-120.1848,GABF
Silver,"Alviso Mills Hefeweizen","Santa Clara Valley Brewing","San Jose",CA,"German-Style Wheat Ale",2018,"-121.8489 37.3021",37.3021,-121.8489,GABF
Bronze,"Doppel BLUR","Circle Brewing Co.",Austin,TX,"German-Style Wheat Ale",2018,"-97.7517 30.3006",30.3006,-97.7517,GABF
Gold,Puckerberry,"High Hops Brewery",Windsor,CO,"Gluten-Free Beer",2018,"-104.9211 40.4679",40.4679,-104.9211,GABF
Silver,"Aurochs Blonde Ale","Aurochs Brewing Co.",Emsworth,PA,"Gluten-Free Beer",2018,"-80.0965 40.5112",40.5112,-80.0965,GABF
Bronze,"Dark Ale","Ground Breaker Brewing",Portland,OR,"Gluten-Free Beer",2018,"-122.65 45.5371",45.5371,-122.65,GABF
Gold,"MadeWest Standard","MadeWest Brewing Co.",Ventura,CA,"Golden or Blonde Ale",2018,,,,GABF
Silver,"1956 Golden Ale","Bootstrap Brewing Co.",Niwot,CO,"Golden or Blonde Ale",2018,"-105.1552 40.098",40.098,-105.1552,GABF
Bronze,"Pistol Pete’s 1888 Ale","Bosque Brewing Co. - Bosque North",Bernalillo,NM,"Golden or Blonde Ale",2018,"-106.5537 35.3127",35.3127,-106.5537,GABF
Gold,"Two of Tarts","Upland Brewing Co.",Bloomington,IN,Gose,2018,"-86.5257 39.1637",39.1637,-86.5257,GABF
Silver,"Salty by Nature","Root Down Brewing Co.",Phoenixville,PA,Gose,2018,"-75.5201 40.1358",40.1358,-75.5201,GABF
Bronze,"Brewer's Day Off","D9 Brewing Co.",Cornelius,NC,Gose,2018,"-80.8822 35.4731",35.4731,-80.8822,GABF
Gold,Pendragon,"Royal Docks Brewhouse and Cannery",Massillon,OH,"Herb and Spice Beer",2018,"-81.5256 40.7839",40.7839,-81.5256,GABF
Silver,"Hazelnut Crunch","North By Northwest Restaurant and Brewery - Slaughter",Austin,TX,"Herb and Spice Beer",2018,"-97.7517 30.3006",30.3006,-97.7517,GABF
Bronze,"Wheatstone Bridge","Tin Whiskers Brewing","St. Paul",MN,"Herb and Spice Beer",2018,"-93.104 44.9477",44.9477,-93.104,GABF
Gold,"Pushing Trees","Central Standard Brewing",Wichita,KS,"Historical Beer",2018,"-97.3441 37.6897",37.6897,-97.3441,GABF
Silver,"The BIG Lubelski","Divine Barrel Brewing",Charlotte,NC,"Historical Beer",2018,"-80.8304 35.2079",35.2079,-80.8304,GABF
Bronze,"Zungen Brecher","Home Brewing Co.","San Diego",CA,"Historical Beer",2018,"-117.1225 32.8312",32.8312,-117.1225,GABF
Gold,"Belgian Honey Blonde","No Clue Craft Brewery","Rancho Cucamonga",CA,"Honey Beer",2018,"-117.5666 34.1248",34.1248,-117.5666,GABF
Silver,"Honey Comb Cream Ale","Rock Bottom Brewery - Pittsburgh",Denver,CO,"Honey Beer",2018,"-104.8759 39.7621",39.7621,-104.8759,GABF
Bronze,"Basil Better Have My Honey","Low Tide Brewing","Johns Island",SC,"Honey Beer",2018,,,,GABF
Gold,Nobility,"Noble Ale Works",Anaheim,CA,"Imperial India Pale Ale",2018,"-117.8573 33.839",33.839,-117.8573,GABF
Silver,"Northern Lights","Moonraker Brewing Co. - Production Facility",Auburn,CA,"Imperial India Pale Ale",2018,"-121.0777 38.895",38.895,-121.0777,GABF
Bronze,"Unbridled Enthusiasm","Third Space Brewing",Milwaukee,WI,"Imperial India Pale Ale",2018,"-87.9673 43.0642",43.0642,-87.9673,GABF
Gold,"Happy Days","Claremont Craft Ales",Claremont,CA,"Imperial Red Ale",2018,"-117.7153 34.1259",34.1259,-117.7153,GABF
Silver,Robot,"Stereo Brewing Co.",Placentia,CA,"Imperial Red Ale",2018,"-117.8553 33.8807",33.8807,-117.8553,GABF
Bronze,"Cinder Beast","Sunriver Brewing",Sunriver,OR,"Imperial Red Ale",2018,"-121.4368 43.8816",43.8816,-121.4368,GABF
Gold,"Kill the Lights","The Tap Brewery",Bloomington,IN,"Imperial Stout",2018,"-86.5257 39.1637",39.1637,-86.5257,GABF
Silver,"The Shroud","Bravery Brewing",Lancaster,CA,"Imperial Stout",2018,"-118.1753 34.6934",34.6934,-118.1753,GABF
Bronze,Shimmergloom,"Loowit Brewing Co.",Vancouver,WA,"Imperial Stout",2018,"-122.597 45.6367",45.6367,-122.597,GABF
Gold,"Mai Tai P.A.","Alvarado Street Brewery & Grill",Monterey,CA,"International-Style Pale Ale",2018,"-121.8807 36.5922",36.5922,-121.8807,GABF
Silver,Guayabera,"Cigar City Brewing",Tampa,FL,"International-Style Pale Ale",2018,"-82.4451 27.9942",27.9942,-82.4451,GABF
Bronze,"The Penske File","Faction Brewing Co.",Alameda,CA,"International-Style Pale Ale",2018,"-122.2673 37.767",37.767,-122.2673,GABF
Gold,"Wooden Teeth","Turtle Mountain Brewing Co.","Rio Rancho",NM,"International-Style Pilsener",2018,"-106.6981 35.2872",35.2872,-106.6981,GABF
Silver,"Nano - OG Lager","Market Garden Brewery",Cleveland,OH,"International-Style Pilsener",2018,"-81.6805 41.4767",41.4767,-81.6805,GABF
Bronze,"Cerveza Delray","Brew Detroit",Detroit,MI,"International-Style Pilsener",2018,"-83.1024 42.3834",42.3834,-83.1024,GABF
Gold,"Scarlet > Fire","Tighthead Brewing Co.",Mundelein,IL,"Irish-Style Red Ale",2018,"-88.0101 42.2692",42.2692,-88.0101,GABF
Silver,"TAPS Irish Red","TAPS Fish House and Brewery - Corona",Corona,CA,"Irish-Style Red Ale",2018,"-117.5641 33.862",33.862,-117.5641,GABF
Bronze,"DEFCON Red","Comrade Brewing Co.",Denver,CO,"Irish-Style Red Ale",2018,"-104.8759 39.7621",39.7621,-104.8759,GABF
Gold,"New England Style Double IPA","Black Market Brewing Co.",Temecula,CA,"Juicy or Hazy Imperial or Double India Pale Ale",2018,"-117.1315 33.4928",33.4928,-117.1315,GABF
Silver,"Color of Life","Corridor Brewery & Provisions",Chicago,IL,"Juicy or Hazy Imperial or Double India Pale Ale",2018,"-87.6862 41.8373",41.8373,-87.6862,GABF
Bronze,"Contains No Juice","Alvarado Street Brewery",Salinas,CA,"Juicy or Hazy Imperial or Double India Pale Ale",2018,"-121.6317 36.6884",36.6884,-121.6317,GABF
Gold,"Le Jus","Alarmist Brewing",Chicago,IL,"Juicy or Hazy India Pale Ale",2018,"-87.6862 41.8373",41.8373,-87.6862,GABF
Silver,"Fairy Nectar London Double Dry Hopped","Kros Strain Brewing Co.","La Vista",NE,"Juicy or Hazy India Pale Ale",2018,"-96.0665 41.1816",41.1816,-96.0665,GABF
Bronze,"Foiken Haze","Eris Brewery and Cider House",Chicago,IL,"Juicy or Hazy India Pale Ale",2018,"-87.6862 41.8373",41.8373,-87.6862,GABF
Gold,Voodoo,"Tin Roof Brewing Co.","Baton Rouge",LA,"Juicy or Hazy Pale Ale",2018,"-91.131 30.4419",30.4419,-91.131,GABF
Silver,"Sippin on Dank 2.0","Kings Brewing Co.","Rancho Cucamonga",CA,"Juicy or Hazy Pale Ale",2018,"-117.5666 34.1248",34.1248,-117.5666,GABF
Bronze,"Madame Psychosis","Fiction Beer Co.",Denver,CO,"Juicy or Hazy Pale Ale",2018,"-104.8759 39.7621",39.7621,-104.8759,GABF
Gold,"Keller Pils","Summit Brewing Co.","St. Paul",MN,"Kellerbier or Zwickelbier",2018,"-93.104 44.9477",44.9477,-93.104,GABF
Silver,"STS Pils","Russian River Brewing Co. - Production","Santa Rosa",CA,"Kellerbier or Zwickelbier",2018,"-122.7067 38.4458",38.4458,-122.7067,GABF
Bronze,NashZwickel,"Nashville Brewing Co.",Nashville,TN,"Kellerbier or Zwickelbier",2018,"-86.7843 36.1715",36.1715,-86.7843,GABF
Gold,"Altitude Banquet","Altitude Chophouse and Brewery",Laramie,WY,"Light Lager",2018,"-105.6085 41.3099",41.3099,-105.6085,GABF
Silver,"Awesome Beer Rice Lager","State Room Brewery","San Rafael",CA,"Light Lager",2018,"-122.5222 37.9904",37.9904,-122.5222,GABF
Bronze,"Super Awesome Lager","Austin Beerworks",Austin,TX,"Light Lager",2018,"-97.7517 30.3006",30.3006,-97.7517,GABF
Gold,Druif,"pFriem Family Brewers","Hood River",OR,"Mixed-Culture Brett Beer",2018,"-121.5258 45.7092",45.7092,-121.5258,GABF
Silver,"Citra Dry Hopped Funk Yo Couch","Wiley Roots Brewing Co.",Greeley,CO,"Mixed-Culture Brett Beer",2018,"-104.7705 40.4151",40.4151,-104.7705,GABF
Bronze,"Coming to Fruition: Cherry","Oregon City Brewing Co.","Oregon City",OR,"Mixed-Culture Brett Beer",2018,"-122.5927 45.3414",45.3414,-122.5927,GABF
Gold,"Chuckanut Dunkel","Chuckanut - South Nut",Burlington,WA,"Munich-Style Dunkel or European-Style Dark Lager",2018,"-122.3298 48.4677",48.4677,-122.3298,GABF
Silver,"Duck River Dunkel","Goat Island Brewing",Cullman,AL,"Munich-Style Dunkel or European-Style Dark Lager",2018,"-86.8399 34.1777",34.1777,-86.8399,GABF
Bronze,"Babee Bock","Brew Kettle - Production Works",Strongsville,OH,"Munich-Style Dunkel or European-Style Dark Lager",2018,"-81.8313 41.3128",41.3128,-81.8313,GABF
Gold,"Hell Yes","The Austin Beer Garden Brewing Co.",Austin,TX,"Munich-Style Helles",2018,"-97.7517 30.3006",30.3006,-97.7517,GABF
Silver,"Chuckanut Helles","Chuckanut Brewery - North Nut",Bellingham,WA,"Munich-Style Helles",2018,"-122.4687 48.7543",48.7543,-122.4687,GABF
Bronze,"House Lager","Jack's Abby Brewing",Framingham,MA,"Munich-Style Helles",2018,"-71.4368 42.3085",42.3085,-71.4368,GABF
Gold,"Shoshone Stout","Glenwood Canyon Brewing Co.","Glenwood Springs",CO,"Oatmeal Stout",2018,"-107.3347 39.5455",39.5455,-107.3347,GABF
Silver,Oats,"Pizza Port Solana Beach","Solana Beach",CA,"Oatmeal Stout",2018,"-117.2575 32.9942",32.9942,-117.2575,GABF
Bronze,"Wall of Sound","Stereo Brewing Co.",Placentia,CA,"Oatmeal Stout",2018,"-117.8553 33.8807",33.8807,-117.8553,GABF
Gold,"Drunkard's Cloak","Banded Oak Brewing Co.",Denver,CO,"Old Ale or Strong Ale",2018,"-104.8759 39.7621",39.7621,-104.8759,GABF
Silver,"Old Scrooge","Silver City Brewery",Bremerton,WA,"Old Ale or Strong Ale",2018,"-122.7121 47.5436",47.5436,-122.7121,GABF
Bronze,"Rail Gun Wee Heavy","BNS Brewing & Distilling Co.",Santee,CA,"Old Ale or Strong Ale",2018,"-116.9851 32.8554",32.8554,-116.9851,GABF
Gold,"Sawtooth Ale","Left Hand Brewing Co.",Longmont,CO,"Ordinary or Special Bitter",2018,"-105.0996 40.169",40.169,-105.0996,GABF
Silver,"Copperline Amber Ale","Carolina Brewery - Chapel Hill",Pittsboro,NC,"Ordinary or Special Bitter",2018,"-79.1732 35.7255",35.7255,-79.1732,GABF
Bronze,"Saint Arnold Amber Ale","Saint Arnold Brewing Co.",Houston,TX,"Ordinary or Special Bitter",2018,"-95.3905 29.7869",29.7869,-95.3905,GABF
Gold,"Pour le Mineur","Corridor Brewery & Provisions",Chicago,IL,"Other Belgian-Style Ale",2018,"-87.6862 41.8373",41.8373,-87.6862,GABF
Silver,"Call of the Void","Original Pattern Brewing Co.",Oakland,CA,"Other Belgian-Style Ale",2018,"-122.2165 37.7903",37.7903,-122.2165,GABF
Bronze,"Red Devil","Printer's Ale Manufacturing Co.",Carrollton,GA,"Other Belgian-Style Ale",2018,"-85.0837 33.5818",33.5818,-85.0837,GABF
Gold,"Golden Prairie Doppel Alt","Argus Brewery",Chicago,IL,"Other Strong Beer",2018,"-87.6862 41.8373",41.8373,-87.6862,GABF
Silver,"False Hope","Spilled Grain Brewhouse",Annandale,MN,"Other Strong Beer",2018,"-94.1206 45.2598",45.2598,-94.1206,GABF
Bronze,"Lampshade Porter","Starr Brothers Brewing Co.",Albuquerque,NM,"Other Strong Beer",2018,"-106.6464 35.1053",35.1053,-106.6464,GABF
Gold,Gordgeous,"NoDa Brewing Co. - NE",Charlotte,NC,"Pumpkin/Squash Beer or Pumpkin Spice Beer",2018,"-80.8304 35.2079",35.2079,-80.8304,GABF
Silver,"Whole Hog Pumpkin Ale","Stevens Point Brewery","Stevens Point",WI,"Pumpkin/Squash Beer or Pumpkin Spice Beer",2018,"-89.5508 44.5241",44.5241,-89.5508,GABF
Bronze,"5 Phantoms Pumpkin Spice Barleywine","Philipsburg Brewing Co. - The Vault",Philipsburg,MT,"Pumpkin/Squash Beer or Pumpkin Spice Beer",2018,"-113.296 46.3324",46.3324,-113.296,GABF
Gold,Lomporter,"Lompoc Brewing - The 5th Quadrant",Portland,OR,"Robust Porter",2018,"-122.65 45.5371",45.5371,-122.65,GABF
Silver,Porter,"Founders Brewing Co.","Grand Rapids",MI,"Robust Porter",2018,"-85.6557 42.9615",42.9615,-85.6557,GABF
Bronze,"Ghost Rider Porter","Big Ugly Brewing Co.",Chesapeake,VA,"Robust Porter",2018,"-76.3024 36.6778",36.6778,-76.3024,GABF
Gold,"Rye Dawn","Breakwater Brewing Co.",Oceanside,CA,"Rye Beer",2018,"-117.3083 33.2247",33.2247,-117.3083,GABF
Silver,"Unite the Clans","Third Space Brewing",Milwaukee,WI,"Rye Beer",2018,"-87.9673 43.0642",43.0642,-87.9673,GABF
Bronze,"Rise Up Rye","Gun Hill Brewing Co.",Bronx,NY,"Rye Beer",2018,"-73.8662 40.8501",40.8501,-73.8662,GABF
Gold,"Real Heavy","Real Ale Brewing Co.",Blanco,TX,"Scotch Ale",2018,"-98.4169 30.0987",30.0987,-98.4169,GABF
Silver,Skag,"6th and La Brea","Los Angeles",CA,"Scotch Ale",2018,"-118.4068 34.1139",34.1139,-118.4068,GABF
Bronze,"Kilt Switch","903 Brewers",Sherman,TX,"Scotch Ale",2018,"-96.6195 33.6266",33.6266,-96.6195,GABF
Gold,"Taildragger Clan-Destine","Saddle Mountain Brewing Co.",Goodyear,AZ,"Scottish-Style Ale",2018,"-112.3622 33.2614",33.2614,-112.3622,GABF
Silver,"Saint Arnold Oktoberfest","Saint Arnold Brewing Co.",Houston,TX,"Scottish-Style Ale",2018,"-95.3905 29.7869",29.7869,-95.3905,GABF
Bronze,"It Takes a Tribe Red Ale","Goat Patch Brewing Co.","Colorado Springs",CO,"Scottish-Style Ale",2018,"-104.7606 38.8674",38.8674,-104.7606,GABF
Gold,"Natural Bridge: Vienna Lager","Eppig Brewing","San Diego",CA,"Session Beer",2018,"-117.1225 32.8312",32.8312,-117.1225,GABF
Silver,"Noble Miner","Burgeon Beer Co.",Carlsbad,CA,"Session Beer",2018,"-117.2837 33.1247",33.1247,-117.2837,GABF
Bronze,"Stonefly Session Ale","Three Creeks Production",Sisters,OR,"Session Beer",2018,"-121.5534 44.292",44.292,-121.5534,GABF
Gold,"The Coachman","Societe Brewing Co.","San Diego",CA,"Session India Pale Ale",2018,"-117.1225 32.8312",32.8312,-117.1225,GABF
Silver,"Little Downtown Tom","Three Mile Brewing Co.",Davis,CA,"Session India Pale Ale",2018,"-121.7365 38.5552",38.5552,-121.7365,GABF
Bronze,"Mosaic Reprise","Little City Brewing Co.",Raleigh,NC,"Session India Pale Ale",2018,"-78.6438 35.8324",35.8324,-78.6438,GABF
Gold,"St. Chuck's Smoke","Rogue Ales Issaquah Brewhouse",Issaquah,WA,"Smoke Beer",2018,"-122.0444 47.542",47.542,-122.0444,GABF
Silver,"Pro-Pro Porter","Wormtown Brewery",Worcester,MA,"Smoke Beer",2018,"-71.8079 42.2705",42.2705,-71.8079,GABF
